[   DEBUG]-[2017-04-26 16:11:57,570]-Service_logic.py :Line:39 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[    INFO]-[2017-04-26 16:11:57,570]-Service_logic.py :Line:40 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[ WARNING]-[2017-04-26 16:11:57,570]-Service_logic.py :Line:41 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   ERROR]-[2017-04-26 16:11:57,571]-Service_logic.py :Line:42 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[CRITICAL]-[2017-04-26 16:11:57,571]-Service_logic.py :Line:43 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   DEBUG]-[2017-04-26 16:11:57,848]-Service_logic.py :Line:39 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[    INFO]-[2017-04-26 16:11:57,848]-Service_logic.py :Line:40 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[ WARNING]-[2017-04-26 16:11:57,848]-Service_logic.py :Line:41 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   ERROR]-[2017-04-26 16:11:57,848]-Service_logic.py :Line:42 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[CRITICAL]-[2017-04-26 16:11:57,848]-Service_logic.py :Line:43 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   DEBUG]-[2017-04-26 16:11:57,998]-Service_logic.py :Line:39 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[    INFO]-[2017-04-26 16:11:57,999]-Service_logic.py :Line:40 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[ WARNING]-[2017-04-26 16:11:57,999]-Service_logic.py :Line:41 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   ERROR]-[2017-04-26 16:11:57,999]-Service_logic.py :Line:42 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[CRITICAL]-[2017-04-26 16:11:57,999]-Service_logic.py :Line:43 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   DEBUG]-[2017-04-26 16:11:58,201]-Service_logic.py :Line:39 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[    INFO]-[2017-04-26 16:11:58,201]-Service_logic.py :Line:40 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[ WARNING]-[2017-04-26 16:11:58,201]-Service_logic.py :Line:41 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[   ERROR]-[2017-04-26 16:11:58,201]-Service_logic.py :Line:42 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
[CRITICAL]-[2017-04-26 16:11:58,201]-Service_logic.py :Line:43 : {'tooltip': {}, 'yAxis': {}, 'legend': {'data': ['销量']}, 'xAxis': {'data': ['衬衫', '羊毛衫', '雪纺衫', '裤子', '高跟鞋', '袜子']}, 'series': [{'data': [5, 20, 36, 10, 10, 200], 'type': 'bar', 'name': '销量'}], 'title': {'text': 'ECharts 入门示例'}}
